학년도	개설전공	학년	이수구분	과목코드	과목명	분반	학점	이론	실습	교원명	강의시간	강의실	주제군	과목구분	수용인원	수강제한사항	강의구분	캠퍼스
2025	학생성장교양학부	1	기교	11743	말하기와사고	1	2	2	0	한우섭	월(2,3)	C5-0706		일반과목	50	수강제한없음	일반강의	충청
2025	학생성장교양학부	1	기교	11743	말하기와사고	2	2	2	0	한우섭	월(5,6)	C5-0706		일반과목	50	수강제한없음	일반강의	충청
2025	학생성장교양학부	1	기교	11743	말하기와사고	3	2	2	0	조혜진	화(2,3)	C5-0706		일반과목	50	수강제한없음	일반강의	충청
2025	학생성장교양학부	1	기교	11743	말하기와사고	4	2	2	0	조혜진	화(4,5)	C5-0706		일반과목	50	수강제한없음	일반강의	충청
2025	학생성장교양학부	1	기교	11743	말하기와사고	5	2	2	0	한우섭	목(2,3)	C5-0706		일반과목	50	수강제한없음	일반강의	충청
2025	학생성장교양학부	1	기교	11743	말하기와사고	6	2	2	0	한우섭	목(5,6)	C5-0706		일반과목	50	수강제한없음	일반강의	충청
2025	학생성장교양학부	1	기교	11743	말하기와사고	7	2	2	0	정덕기	월(1,2)	C6-0439		일반과목	45	수강제한없음	일반강의	고양
2025	학생성장교양학부	1	기교	11743	말하기와사고	8	2	2	0	임승필	월(3,4)	C6-0439		일반과목	45	수강제한없음	일반강의	고양
2025	학생성장교양학부	1	기교	11743	말하기와사고	9	2	2	0	임승필	월(6,7)	C6-0439		일반과목	45	수강제한없음	일반강의	고양
2025	학생성장교양학부	1	기교	11743	말하기와사고	10	2	2	0	임승필	월(8,9)	C6-0439		일반과목	45	수강제한없음	일반강의	고양
2025	학생성장교양학부	1	기교	11743	말하기와사고	11	2	2	0	이준석	화(1,2)	C6-0439		일반과목	45	수강제한없음	일반강의	고양
2025	학생성장교양학부	1	기교	11743	말하기와사고	12	2	2	0	이준석	화(3,4)	C6-0439		일반과목	45	수강제한없음	일반강의	고양
2025	학생성장교양학부	1	기교	11743	말하기와사고	13	2	2	0	권정언	화(5,6)	C6-0439		일반과목	45	수강제한없음	일반강의	고양
2025	학생성장교양학부	1	기교	11743	말하기와사고	14	2	2	0	권정언	화(7,8)	C6-0439		일반과목	45	수강제한없음	일반강의	고양
2025	학생성장교양학부	1	기교	11743	말하기와사고	15	2	2	0	한길석	수(1,2)	C6-0439		일반과목	45	수강제한없음	일반강의	고양
2025	학생성장교양학부	1	기교	11743	말하기와사고	16	2	2	0	한길석	수(3,4)	C6-0439		일반과목	45	수강제한없음	일반강의	고양
2025	학생성장교양학부	1	기교	11743	말하기와사고	17	2	2	0	한길석	목(1,2)	C6-0439		일반과목	45	수강제한없음	일반강의	고양
2025	학생성장교양학부	1	기교	11743	말하기와사고	18	2	2	0	한길석	목(3,4)	C6-0439		일반과목	45	수강제한없음	일반강의	고양
2025	학생성장교양학부	1	기교	11743	말하기와사고	19	2	2	0	정덕기	목(5,6)	C6-0439		일반과목	45	수강제한없음	일반강의	고양
2025	학생성장교양학부	1	기교	11743	말하기와사고	20	2	2	0	정덕기	목(7,8)	C6-0439		일반과목	45	수강제한없음	일반강의	고양
2025	학생성장교양학부	1	기교	11744	글쓰기와독서	1	2	2	0	최성일	월(5,6)	C5-0215		일반과목	50	수강제한없음	일반강의	충청
2025	학생성장교양학부	1	기교	11744	글쓰기와독서	2	2	2	0	최성일	월(7,8)	C5-0215		일반과목	50	수강제한없음	일반강의	충청
2025	학생성장교양학부	1	기교	11744	글쓰기와독서	3	2	2	0	박은진	화(2,3)	C5-0215		일반과목	50	수강제한없음	일반강의	충청
2025	학생성장교양학부	1	기교	11744	글쓰기와독서	4	2	2	0	박은진	화(5,6)	C5-0215		일반과목	50	수강제한없음	일반강의	충청
2025	학생성장교양학부	1	기교	11744	글쓰기와독서	5	2	2	0	박은진	수(1,2)	C5-0215		일반과목	50	수강제한없음	일반강의	충청
2025	학생성장교양학부	1	기교	11744	글쓰기와독서	6	2	2	0	박은진	수(3,4)	C5-0215		일반과목	50	수강제한없음	일반강의	충청
2025	학생성장교양학부	1	기교	11744	글쓰기와독서	7	2	2	0	이미정	월(1,2)	C6-0433		일반과목	45	수강제한없음	일반강의	고양
2025	학생성장교양학부	1	기교	11744	글쓰기와독서	8	2	2	0	이미정	월(3,4)	C6-0433		일반과목	45	수강제한없음	일반강의	고양
2025	학생성장교양학부	1	기교	11744	글쓰기와독서	9	2	2	0	이미정	월(5,6)	C6-0433		일반과목	45	수강제한없음	일반강의	고양
2025	학생성장교양학부	1	기교	11744	글쓰기와독서	10	2	2	0	박종호	월(5,6)	C6-0438		일반과목	45	수강제한없음	일반강의	고양
2025	학생성장교양학부	1	기교	11744	글쓰기와독서	11	2	2	0	박종호	월(7,8)	C6-0433		일반과목	45	수강제한없음	일반강의	고양
2025	학생성장교양학부	1	기교	11744	글쓰기와독서	12	2	2	0	이미정	화(1,2)	C6-0433		일반과목	45	수강제한없음	일반강의	고양
2025	학생성장교양학부	1	기교	11744	글쓰기와독서	13	2	2	0	이미정	화(3,4)	C6-0433		일반과목	45	수강제한없음	일반강의	고양
2025	학생성장교양학부	1	기교	11744	글쓰기와독서	14	2	2	0	조은영	화(5,6)	C6-0433		일반과목	45	수강제한없음	일반강의	고양
2025	학생성장교양학부	1	기교	11744	글쓰기와독서	15	2	2	0	조은영	화(7,8)	C6-0433		일반과목	45	수강제한없음	일반강의	고양
2025	학생성장교양학부	1	기교	11744	글쓰기와독서	16	2	2	0	이미정	수(1,2)	C6-0433		일반과목	45	수강제한없음	일반강의	고양
2025	학생성장교양학부	1	기교	11744	글쓰기와독서	17	2	2	0	염수민	목(1,2)	C6-0433		일반과목	45	수강제한없음	일반강의	고양
2025	학생성장교양학부	1	기교	11744	글쓰기와독서	18	2	2	0	염수민	목(3,4)	C6-0433		일반과목	45	수강제한없음	일반강의	고양
2025	학생성장교양학부	1	기교	11744	글쓰기와독서	19	2	2	0	권미란	금(1,2)	C6-0433		일반과목	45	수강제한없음	일반강의	고양
2025	학생성장교양학부	1	기교	11744	글쓰기와독서	20	2	2	0	권미란	금(3,4)	C6-0433		일반과목	45	수강제한없음	일반강의	고양
2025	학생성장교양학부	1	기교	11745	컴퓨팅기반문제해결	1	2	2	0	임명숙	월(3,4)	C5-0405		일반과목	40	수강제한없음	일반강의	충청
2025	학생성장교양학부	1	기교	11745	컴퓨팅기반문제해결	2	2	2	0	임명숙	월(5,6)	C5-0405		일반과목	40	수강제한없음	일반강의	충청
2025	학생성장교양학부	1	기교	11745	컴퓨팅기반문제해결	3	2	2	0	김애숙	화(5,6)	C5-0405		일반과목	40	수강제한없음	일반강의	충청
2025	학생성장교양학부	1	기교	11745	컴퓨팅기반문제해결	4	2	2	0	김애숙	화(7,8)	C5-0405		일반과목	40	수강제한없음	일반강의	충청
2025	학생성장교양학부	1	기교	11745	컴퓨팅기반문제해결	5	2	2	0	이금심	수(1,2)	C5-0406		일반과목	40	수강제한없음	일반강의	충청
2025	학생성장교양학부	1	기교	11745	컴퓨팅기반문제해결	6	2	2	0	임명숙	목(6,7)	C5-0405		일반과목	40	수강제한없음	일반강의	충청
2025	학생성장교양학부	1	기교	11745	컴퓨팅기반문제해결	7	2	2	0	장은실	월(1,2)	C7-0218		일반과목	40	수강제한없음	일반강의	고양
2025	학생성장교양학부	1	기교	11745	컴퓨팅기반문제해결	8	2	2	0	장은실	월(3,4)	C7-0218		일반과목	40	수강제한없음	일반강의	고양
2025	학생성장교양학부	1	기교	11745	컴퓨팅기반문제해결	9	2	2	0	장은실	월(5,6)	C7-0218		일반과목	40	수강제한없음	일반강의	고양
